id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
142117,"Stylish & Bright, 1 Bed, Shoreditch",192627,Clare,,Hackney,51.52851,580.0351429,Entire home/apt,180,3,96,02-07-2022,0.71,1,11,12
143028,Entire London Town House Next 2 Tube & Wimbledon,694198,Yasmin,,Merton,51.40066,586.3168571,Entire home/apt,279,2,5,04-07-2022,0.08,3,90,1
143478,"Large room, London Fields, Hackney",696065,Tania,,Hackney,51.54017,592.5985714,Private room,35,1,24,18-02-2022,0.26,7,0,1
145612,"West London-W7, Hanwell (Area Ealing) Room",704495,Nina,,Ealing,51.50426,598.8802857,Private room,33,7,103,05-08-2022,0.76,2,10,5
152863,Spacious 2-bed Muswell Hill garden apartment,735248,Jamie,,Haringey,51.58409,605.162,Entire home/apt,170,4,6,27-08-2018,0.04,1,0,0
154221,great location absolutely central,211018,Sylvia,,Westminster,51.4897,611.4437143,Entire home/apt,83,2,1,12-01-2016,0.01,1,0,0
157536,"Quiet double room, with friendly, experienced host",214945,Matthew,,Southwark,51.48849,617.7254286,Private room,52,5,192,12-12-2019,1.53,2,0,0
157714,"West London,loft ensuite, 5min2tube",757377,Eilinn,,Hammersmith and Fulham,51.48974,624.0071429,Private room,90,4,167,04-07-2022,1.23,1,62,6
159736,A double Room 5mins from King's College Hospital,766056,Trevor,,Lambeth,51.46788,630.2888571,Private room,46,4,93,01-07-2022,0.68,4,201,7
165336,Charming Flat in Notting Hill,761400,Nathan,,Kensington and Chelsea,51.51735,636.5705714,Entire home/apt,100,1,199,25-08-2022,1.5,1,2,18
166760,"Modern 1 bed flat, fast trains to central london!",794470,Amelia,,Croydon,51.38888,642.8522857,Entire home/apt,91,2,27,09-09-2022,0.57,1,170,5
168348,"Feel at Home in a Charming, Bright, Central Apartment in Notting Hill",802297,Alexandra,,Kensington and Chelsea,51.51755,649.134,Entire home/apt,160,4,159,31-07-2022,1.18,1,110,9
168359,Stunning 2 Bed Apartment in Elephant & Castle,648725,Michele,,Southwark,51.49185,655.4157143,Entire home/apt,111,2,10,19-03-2019,0.07,1,0,0
170702,A Double Room with  River Views,814004,Marie,,Tower Hamlets,51.49686,661.6974286,Private room,60,3,136,03-12-2019,1,1,0,0
172629,Modern Bright Room in Kensington +private bathroom,471088,Anthony,,Kensington and Chelsea,51.49603042,667.9791429,Private room,100,4,156,07-09-2022,1.43,2,58,7
172807,Charming central 2 bedroom flat,824591,Anna,,Westminster,51.51789,674.2608571,Entire home/apt,207,3,17,14-09-2017,0.13,1,0,0
174132,Large Bedroom with EnSuite Bathroom,831866,Erika,,Westminster,51.52636,680.5425714,Private room,80,1,216,08-09-2022,1.62,1,309,32
179312,Lovely 1 bed Apartment Islington on Tube Stop,858555,Larissa,,Islington,51.55191,686.8242857,Entire home/apt,45,2,7,03-06-2018,0.11,1,0,0
182802,Quiet Double Room - Good for walks,876774,Heather,,Richmond upon Thames,51.43855,693.106,Private room,60,1,224,08-09-2022,1.76,1,343,53
183128,Room with private modern bathroom near Southbank.,878083,Kyri,,Southwark,51.50038357,699.3877143,Private room,92,2,158,11-08-2022,1.18,1,12,7
186682,Beautiful Modern Bright Spacious 1-Bed Apartment,897316,Emily,,Brent,51.54209,705.6694286,Entire home/apt,69,2,42,22-09-2020,0.43,1,0,0
189002,FAB CHISWICK ROOM,911280,Vee,,Hounslow,51.49094,711.9511429,Private room,85,2,5,25-08-2015,0.04,1,178,0
190015,"Light filled 2-bedroom with gardens, London Fields",917148,Sara,,Hackney,51.53715,718.2328571,Entire home/apt,240,4,18,31-07-2018,0.13,1,17,0
190028,MODERN Self-Contained ARCHITECT FLAT,497366,Andrea,,Islington,51.55119,724.5145714,Entire home/apt,120,3,31,04-12-2020,0.48,2,327,0
198258,Penthouse Living in East London,967537,Ryan,,Barking and Dagenham,51.5343,730.7962857,Private room,64,2,40,10-08-2022,0.3,1,345,10
198279,London Whitechapel Room with WIFI,967645,Radhika And Lorenzo,,Tower Hamlets,51.51462,737.078,Private room,40,10,231,25-08-2022,1.84,1,282,11
200713,LOVELY & COZY ROOM WITH KITCHENETTE,968464,Catia,,Croydon,51.3843,743.3597143,Private room,18,3,47,30-04-2019,0.35,5,137,0
201463,£100 for entire one-bed garden flat in Islington!,952983,Debbie,,Islington,51.53561,749.6414286,Entire home/apt,100,3,192,08-09-2022,1.44,5,1,16
202422,Regent's Park 5 min | Kings Cross & St Panc 1 stop,67625,The Team At The London Agent,,Camden,51.53614,755.9231429,Entire home/apt,153,4,52,16-06-2022,0.39,8,19,1
